Date,Close,High,Low,Open,Volume,Ticker
12/13/2021,4668.970215,4710.299805,4667.600098,4710.299805,4397230000,^GSPC
12/14/2021,4634.089844,4660.470215,4606.52002,4642.990234,4485430000,^GSPC
12/15/2021,4709.850098,4712.600098,4611.220215,4636.459961,4910130000,^GSPC
12/16/2021,4668.669922,4731.990234,4651.890137,4719.129883,4829500000,^GSPC
12/17/2021,4620.640137,4666.700195,4600.220215,4652.5,7987090000,^GSPC
12/20/2021,4568.02002,4587.899902,4531.100098,4587.899902,4635700000,^GSPC
12/21/2021,4649.22998,4651.140137,4583.160156,4594.959961,4072430000,^GSPC
12/22/2021,4696.560059,4697.669922,4645.529785,4650.359863,3319610000,^GSPC
12/23/2021,4725.790039,4740.740234,4703.959961,4703.959961,2913040000,^GSPC
12/27/2021,4791.189941,4791.490234,4733.990234,4733.990234,2770290000,^GSPC
12/28/2021,4786.350098,4807.02002,4780.040039,4795.490234,2707920000,^GSPC
12/29/2021,4793.060059,4804.060059,4778.080078,4788.640137,2963310000,^GSPC
12/30/2021,4778.72998,4808.930176,4775.330078,4794.22998,3124950000,^GSPC
12/31/2021,4766.180176,4786.830078,4765.75,4775.209961,2677820000,^GSPC
1/3/2022,4796.560059,4796.640137,4758.169922,4778.140137,3831020000,^GSPC
1/4/2022,4793.540039,4818.620117,4774.27002,4804.509766,4683170000,^GSPC
1/5/2022,4700.580078,4797.700195,4699.439941,4787.990234,4887960000,^GSPC
1/6/2022,4696.049805,4725.009766,4671.259766,4693.390137,4295280000,^GSPC
1/7/2022,4677.029785,4707.950195,4662.740234,4697.660156,4181510000,^GSPC
1/10/2022,4670.290039,4673.02002,4582.240234,4655.339844,4511810000,^GSPC
1/11/2022,4713.069824,4714.129883,4638.27002,4669.140137,4101590000,^GSPC
1/12/2022,4726.350098,4748.830078,4706.709961,4728.589844,4048220000,^GSPC
1/13/2022,4659.029785,4744.129883,4650.290039,4733.560059,4251730000,^GSPC
1/14/2022,4662.850098,4665.129883,4614.75,4637.990234,4338490000,^GSPC
1/18/2022,4577.109863,4632.240234,4568.700195,4632.240234,4748700000,^GSPC
1/19/2022,4532.759766,4611.549805,4530.200195,4588.029785,4465740000,^GSPC
1/20/2022,4482.72998,4602.109863,4477.950195,4547.350098,4640870000,^GSPC
1/21/2022,4397.939941,4494.52002,4395.339844,4471.379883,5589100000,^GSPC
1/24/2022,4410.129883,4417.350098,4222.620117,4356.319824,6928110000,^GSPC
1/25/2022,4356.450195,4411.009766,4287.109863,4366.640137,5145050000,^GSPC
1/26/2022,4349.930176,4453.22998,4304.799805,4408.430176,5570640000,^GSPC
1/27/2022,4326.509766,4428.740234,4309.5,4380.580078,5214200000,^GSPC
1/28/2022,4431.850098,4432.720215,4292.459961,4336.189941,5031090000,^GSPC
1/31/2022,4515.549805,4516.890137,4414.02002,4431.790039,5098610000,^GSPC
2/1/2022,4546.540039,4550.490234,4483.529785,4519.569824,4816830000,^GSPC
