Date,Close,High,Low,Open,Volume,Ticker
9/21/2021,1776,1776,1759,1762.199951,106,GC=F
9/22/2021,1776.699951,1784.300049,1767,1776.699951,17,GC=F
9/23/2021,1747.699951,1766.800049,1738.199951,1766.800049,31,GC=F
9/24/2021,1749.699951,1749.699951,1745,1749.699951,76,GC=F
9/27/2021,1750,1754.400024,1747.5,1751.699951,808,GC=F
9/28/2021,1735.800049,1741.699951,1726.800049,1739.599976,15748,GC=F
9/29/2021,1721.5,1744.099976,1721.400024,1732.400024,6634,GC=F
9/30/2021,1755.300049,1760.300049,1724.5,1725.5,997,GC=F
10/1/2021,1757,1762.599976,1748.5,1754.300049,2220,GC=F
10/4/2021,1766.199951,1768.900024,1749.5,1764.5,417,GC=F
10/5/2021,1759.599976,1764.300049,1749,1764.300049,98,GC=F
10/6/2021,1760.5,1762.900024,1744.699951,1759.300049,56,GC=F
10/7/2021,1757.900024,1762.400024,1752.800049,1762.400024,336,GC=F
10/8/2021,1756.300049,1780,1754.199951,1757,254,GC=F
10/11/2021,1754.599976,1757.800049,1752.199951,1756.599976,128,GC=F
10/12/2021,1758.300049,1768,1749.800049,1751.900024,139,GC=F
10/13/2021,1793.699951,1794.5,1760.800049,1760.800049,150,GC=F
10/14/2021,1796.699951,1799.900024,1792,1792.199951,337,GC=F
10/15/2021,1767.199951,1795.400024,1766.599976,1794.5,874,GC=F
10/18/2021,1764.800049,1770.099976,1759.5,1761.599976,266,GC=F
10/19/2021,1769.699951,1785,1767.5,1777.599976,51,GC=F
10/20/2021,1784.099976,1785.599976,1774,1774.599976,127,GC=F
10/21/2021,1781.199951,1785.699951,1781,1782,146,GC=F
10/22/2021,1795.5,1806.900024,1784,1787.099976,532,GC=F
10/25/2021,1806,1809,1794,1794.300049,140,GC=F
10/26/2021,1792.699951,1808.800049,1788.599976,1808.800049,359,GC=F
10/27/2021,1797.900024,1798.099976,1791.5,1791.5,543,GC=F
10/28/2021,1801.599976,1807.300049,1795.5,1795.5,452,GC=F
10/29/2021,1783,1797,1774.599976,1793.099976,583,GC=F
11/1/2021,1795.099976,1795.099976,1786.699951,1787.5,142,GC=F
11/2/2021,1788.699951,1795.5,1787.699951,1790.5,213,GC=F
11/3/2021,1763.599976,1768,1761.800049,1768,108,GC=F
11/4/2021,1793,1798.199951,1776.199951,1776.599976,103,GC=F
11/5/2021,1816.400024,1817.099976,1794.900024,1794.900024,239,GC=F
11/8/2021,1827.400024,1827.400024,1816.900024,1817,261,GC=F
11/9/2021,1830.199951,1832.699951,1820.699951,1826.099976,170,GC=F
11/10/2021,1847.599976,1865,1824.900024,1825.800049,795,GC=F
11/11/2021,1863.199951,1866.5,1853.900024,1853.900024,292,GC=F
11/12/2021,1867.900024,1867.900024,1847.599976,1860.800049,210,GC=F
11/15/2021,1866.099976,1866.900024,1864.5,1864.5,87,GC=F
11/16/2021,1853.599976,1853.599976,1853.599976,1853.599976,1,GC=F
11/17/2021,1869.699951,1869.699951,1862.599976,1862.599976,2,GC=F
11/18/2021,1861,1861,1861,1861,9,GC=F
11/19/2021,1851.199951,1851.199951,1851.199951,1851.199951,21,GC=F
11/22/2021,1806,1841.599976,1805.699951,1841.599976,14,GC=F
11/23/2021,1783.5,1795.5,1783.5,1795.5,264,GC=F
